76,76,76,21,3,1,1,1,1,1,1,1
3.454232,3.454232,3.454232,6.908463,1.208981,0.1727116,0.3454231,0.1727116,0.1727116,0.3454231,0.1727116,0.1727116
12.36264,12.36264,12.36264,11.26374,16.48352,1.373626,3.846154,1.923077,1.373626,3.846154,1.923077,1.923077
3.614458,3.614458,3.614458,7.228916,2.409639,0,0.3012048,0,0,0.3012048,0,0
3.380282,3.380282,3.380282,6.760563,2.253521,0,0.2816902,0,0,0.2816902,0,0
151,151,151,151,148,148,148,148,148,148,148,148
7.772021,7.772021,7.772021,7.772021,7.599309,7.599309,7.599309,7.599309,7.599309,7.599309,7.599309,7.599309
12.91209,12.91209,12.91209,12.91209,12.08791,12.08791,12.08791,12.08791,12.08791,12.08791,12.08791,12.08791
28.01205,28.01205,28.01205,28.01205,26.80723,26.80723,26.80723,26.80723,26.80723,26.80723,26.80723,26.80723
25.91549,25.91549,25.91549,25.91549,25.07042,25.07042,25.07042,25.07042,25.07042,25.07042,25.07042,25.07042
151,151,151,151,151,151,151,151,151,151,151,151
7.772021,7.772021,7.772021,7.772021,7.772021,7.772021,7.772021,7.772021,7.772021,7.772021,7.772021,7.772021
12.91209,12.91209,12.91209,12.91209,12.91209,12.91209,12.91209,12.91209,12.91209,12.91209,12.91209,12.91209
28.01205,28.01205,28.01205,28.01205,28.01205,28.01205,28.01205,28.01205,28.01205,28.01205,28.01205,28.01205
25.91549,25.91549,25.91549,25.91549,25.91549,25.91549,25.91549,25.91549,25.91549,25.91549,25.91549,25.91549
173,172,172,172,172,151,151,151,151,151,151,151
8.462867,9.153713,9.153713,9.153713,9.153713,7.772021,7.772021,7.772021,7.772021,7.772021,7.772021,7.772021
54.94505,53.02198,53.02198,53.02198,53.02198,12.91209,12.91209,12.91209,12.91209,12.91209,12.91209,12.91209
19.87952,28.91566,34.63855,34.63855,34.63855,28.01205,28.01205,28.01205,28.01205,28.01205,28.01205,28.01205
18.59155,32.67606,32.67606,32.67606,32.67606,25.91549,25.91549,25.91549,25.91549,25.91549,25.91549,25.91549
177,177,177,177,177,177,177,177,177,177,177,177
23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149
99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055
46.08434,46.08434,46.08434,46.08434,46.08434,46.08434,46.08434,46.08434,46.08434,46.08434,46.08434,46.08434
85.35211,85.35211,85.35211,85.35211,85.35211,85.35211,85.35211,85.35211,85.35211,85.35211,85.35211,85.35211
179,179,179,179,179,179,179,179,179,179,179,179
24.00691,24.00691,24.00691,24.00691,24.00691,24.00691,24.00691,24.00691,24.00691,24.00691,24.00691,24.00691
99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055
99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879
76.90141,76.90141,76.90141,76.90141,76.90141,76.90141,76.90141,76.90141,76.90141,76.90141,76.90141,76.90141
511,511,511,511,511,511,511,511,510,510,510,380
24.00691,24.00691,24.00691,24.00691,24.00691,24.00691,24.00691,24.00691,24.17962,24.17962,24.17962,24.17962
99.72527,99.45055,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,50.3012
85.35211,85.6338,85.07042,85.35211,85.07042,85.35211,85.07042,85.35211,85.07042,85.07042,85.07042,83.94366
512,512,512,512,512,512,512,512,512,512,512,512
24.00691,24.00691,24.00691,24.00691,24.00691,24.00691,24.00691,24.00691,24.00691,24.00691,24.00691,24.00691
99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055
99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879
86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718
