3:21.5942,11.30435,3.478261,1.884058,1.15942,0.4347826,0.2898551,0.2898551,0.2898551,0.1449275,0.1449275,0.1449275
4:7.599309,3.799654,7.081174,5.181347,4.835924,1.899827,0.1727116,0.1727116,0.1727116,0.1727116,0.1727116,0.1727116
0:11.81319,53.57143,12.08791,6.868132,3.846154,50.54945,2.747253,2.747253,2.747253,0.8241758,0.8241758,0.8241758
1:27.10843,18.6747,7.831326,5.120482,0.3012048,1.506024,0,0,0,0,0,0
2:25.35211,17.46479,7.323944,4.788733,0.2816902,1.408451,0,0,0,0,0,0
3:25.50725,25.50725,25.50725,25.50725,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232
4:23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149
0:76.92308,76.92308,76.92308,76.92308,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
1:46.08434,46.08434,46.08434,46.08434,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313
2:91.83099,91.83099,91.83099,91.83099,99.15493,99.15493,99.15493,99.15493,99.15493,99.15493,99.15493,99.15493
3:56.23188,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725
4:23.48877,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149
0:99.45055,76.92308,76.92308,76.92308,76.92308,76.92308,76.92308,76.92308,76.92308,76.92308,76.92308,76.92308
1:35.54217,46.08434,46.08434,46.08434,46.08434,46.08434,46.08434,46.08434,46.08434,46.08434,46.08434,46.08434
2:90.98592,91.83099,91.83099,91.83099,91.83099,91.83099,91.83099,91.83099,91.83099,91.83099,91.83099,91.83099
3:56.23188,26.23188,26.23188,26.23188,26.23188,26.23188,26.23188,26.23188,26.23188,26.23188,26.23188,26.23188
4:23.48877,23.8342,23.8342,23.8342,23.8342,23.8342,23.8342,23.8342,23.8342,23.8342,23.8342,23.8342
0:99.45055,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
1:35.54217,50.3012,50.3012,50.3012,50.3012,50.3012,50.3012,50.3012,50.3012,50.3012,50.3012,50.3012
2:90.98592,85.35211,85.35211,85.35211,85.35211,85.35211,85.35211,85.35211,85.35211,85.35211,85.35211,85.35211
3:56.23188,48.84058,26.23188,26.23188,26.23188,26.23188,26.23188,26.23188,26.23188,26.23188,26.23188,26.23188
4:23.48877,24.00691,23.8342,23.8342,23.8342,23.8342,23.8342,23.8342,23.8342,23.8342,23.8342,23.8342
0:99.45055,75.54945,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
