23.8342,23.66149,24.00691,24.00691
99.45055,53.57143,99.72527,75.82417
45.48193,34.93976,46.08434,46.08434
32.57143,26.57143,26,26
23.66149,23.8342,23.8342,23.66149
80.21978,99.45055,99.45055,79.94505
35.24096,45.48193,45.18072,34.93976
32.28571,32.28571,32.57143,32.28571
23.66149,23.66149,23.66149,23.66149
99.45055,99.45055,79.94505,79.94505
45.18072,45.18072,34.93976,34.93976
32.85714,32.85714,32.28571,32.28571
23.8342,23.66149,23.66149,23.66149
99.72527,99.45055,99.45055,99.45055
45.48193,45.18072,45.18072,45.18072
32.85714,32.85714,32.85714,32.85714
23.8342,23.66149,23.66149,23.66149
99.72527,99.45055,99.45055,99.45055
45.48193,45.18072,45.18072,45.18072
32.85714,32.85714,32.85714,32.85714
23.8342,23.8342,23.8342,23.66149
99.45055,99.72527,99.45055,99.45055
46.08434,45.48193,35.54217,45.18072
32.85714,32.85714,32.57143,32.85714
24.00691,23.8342,23.8342,23.8342
99.45055,99.45055,99.72527,99.45055
99.69879,46.08434,45.48193,35.54217
32.85714,32.85714,32.85714,32.57143
23.8342,24.00691,24.00691,24.00691
99.45055,99.45055,99.45055,99.45055
99.69879,99.69879,99.69879,99.69879
32.85714,32.85714,33.14286,32.85714
24.00691,24.00691,24.00691,24.00691
99.45055,99.45055,99.45055,99.45055
99.69879,99.69879,99.69879,99.69879
32.85714,32.85714,32.85714,32.85714
24.17962,24.00691,24.00691,24.00691
99.45055,99.45055,99.45055,99.45055
99.69879,99.69879,99.69879,99.69879
33.42857,32.85714,32.85714,32.85714
24.17962,24.00691,24.00691,24.00691
99.45055,99.45055,99.45055,99.45055
99.69879,99.69879,99.69879,99.69879
33.42857,32.85714,32.85714,32.85714
24.17962,24.00691,24.00691,24.00691
99.45055,99.45055,99.45055,99.45055
99.69879,99.69879,99.69879,99.69879
33.42857,32.85714,32.85714,32.85714
24.17962,24.17962,24.00691,24.00691
99.45055,99.45055,99.45055,99.45055
99.69879,99.69879,99.69879,99.69879
32.85714,33.42857,32.85714,32.85714
24.00691,24.17962,24.17962,24.00691
99.45055,99.45055,99.45055,99.45055
99.69879,99.69879,99.69879,99.69879
33.14286,32.85714,33.42857,32.85714
