0:76.0989,75.82417,54.94505,11.81319,11.53846,6.043956,4.120879,3.296703,1.923077,1.923077,1.373626,1.098901
1:28.61446,50.60241,35.24096,1.204819,0.3012048,0.3012048,0.3012048,0.3012048,0,0,0,0
2:26.76056,57.46479,74.92958,1.126761,0.2816902,0.2816902,0.2816902,0.2816902,0,0,0,0
3:22.46377,25.65217,25.65217,1.014493,0.1449275,4.927536,2.753623,1.15942,0.1449275,0.1449275,0.1449275,0.1449275
4:8.635578,17.09845,6.908463,1.899827,0.1727116,4.663212,1.036269,5.181347,0.1727116,0.1727116,0.1727116,0.1727116
0:76.0989,75.82417,54.94505,34.34066,34.34066,34.34066,34.34066,34.34066,34.34066,34.34066,34.34066,34.34066
1:28.61446,50.60241,35.24096,2.409639,2.409639,2.409639,2.409639,2.409639,2.409639,2.409639,2.409639,2.409639
2:26.76056,57.46479,74.92958,2.253521,2.253521,2.253521,2.253521,2.253521,2.253521,2.253521,2.253521,2.253521
3:22.46377,25.65217,25.65217,1.449275,1.449275,1.449275,1.449275,1.449275,1.449275,1.449275,1.449275,1.449275
4:8.635578,17.09845,6.908463,2.763385,2.763385,2.763385,2.763385,2.763385,2.763385,2.763385,2.763385,2.763385
0:99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
1:99.69879,45.48193,45.48193,45.48193,45.48193,45.48193,45.48193,45.48193,45.48193,45.48193,45.48193,45.48193
2:85.35211,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718
3:25.50725,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232
4:24.00691,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149
0:99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
1:99.69879,35.54217,45.48193,45.48193,45.48193,45.48193,45.48193,45.48193,45.48193,45.48193,45.48193,45.48193
2:85.35211,76.05634,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718
3:25.50725,25.21739,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232
4:24.00691,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149
0:99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
1:99.69879,35.54217,45.48193,45.48193,45.48193,45.48193,45.48193,45.48193,45.48193,45.48193,45.48193,45.48193
2:85.35211,76.05634,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718
3:25.50725,25.21739,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232
4:24.00691,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149
0:99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
1:99.69879,35.54217,45.48193,45.48193,45.48193,45.48193,45.48193,45.48193,45.48193,45.48193,45.48193,45.48193
2:85.35211,76.05634,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718,86.19718
3:25.50725,25.21739,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232
4:24.00691,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149
0:99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
1:99.69879,35.24096,35.54217,45.48193,45.48193,45.48193,45.48193,45.48193,99.69879,45.48193,45.48193,45.48193
2:85.35211,85.6338,76.05634,86.19718,86.19718,86.19718,86.19718,86.19718,85.35211,86.19718,86.19718,86.19718
3:25.50725,25.21739,25.21739,25.36232,25.36232,25.36232,25.36232,25.36232,25.65217,25.36232,25.36232,25.36232
4:24.00691,23.48877,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,24.00691,23.66149,23.66149,23.66149
