0:99.72527,12.08791,12.08791,12.08791,12.08791,12.08791,12.08791,12.08791,12.08791,3.846154,1.923077,1.098901
1:36.14458,27.10843,27.10843,27.10843,27.10843,27.10843,27.10843,27.10843,27.10843,0.3012048,0,0
2:85.07042,25.6338,25.6338,25.6338,25.6338,25.6338,25.6338,25.6338,25.6338,0.2816902,0,0
3:25.36232,21.44928,21.44928,21.44928,21.44928,21.44928,21.44928,21.44928,21.44928,0.1449275,0.1449275,0.1449275
4:23.66149,7.599309,7.599309,7.599309,7.599309,7.599309,7.599309,7.599309,7.599309,0.3454231,0.1727116,0.1727116
0:99.72527,99.72527,75.82417,75.82417,75.82417,75.82417,75.82417,75.82417,75.82417,75.82417,75.82417,75.82417
1:35.54217,36.14458,28.31325,28.31325,28.31325,28.31325,28.31325,28.31325,28.31325,28.31325,28.31325,28.31325
2:85.35211,85.07042,26.47887,26.47887,26.47887,26.47887,26.47887,26.47887,26.47887,26.47887,26.47887,26.47887
3:25.36232,25.36232,22.02899,22.02899,22.02899,22.02899,22.02899,22.02899,22.02899,22.02899,22.02899,22.02899
4:24.17962,23.66149,8.290155,8.290155,8.290155,8.290155,8.290155,8.290155,8.290155,8.290155,8.290155,8.290155
0:99.72527,99.72527,99.72527,99.72527,99.72527,75.82417,75.82417,75.82417,75.82417,75.82417,75.82417,75.82417
1:35.54217,35.54217,36.14458,35.84337,35.84337,28.31325,28.31325,28.31325,28.31325,28.31325,28.31325,28.31325
2:85.07042,85.35211,85.07042,84.50704,84.50704,26.47887,26.47887,26.47887,26.47887,26.47887,26.47887,26.47887
3:25.07246,25.36232,25.36232,25.36232,25.36232,22.02899,22.02899,22.02899,22.02899,22.02899,22.02899,22.02899
4:23.66149,24.17962,23.66149,23.66149,23.66149,8.290155,8.290155,8.290155,8.290155,8.290155,8.290155,8.290155
0:99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
1:35.54217,35.54217,35.84337,35.84337,36.14458,35.84337,35.84337,35.84337,35.84337,35.84337,35.84337,35.84337
2:85.07042,85.35211,84.50704,84.50704,85.07042,84.50704,84.50704,84.50704,84.50704,84.50704,84.50704,84.50704
3:25.07246,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232
4:23.66149,24.17962,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149
0:99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
1:45.18072,35.54217,35.54217,99.69879,28.91566,35.84337,35.84337,36.14458,35.84337,35.84337,35.84337,35.84337
2:84.78873,85.07042,85.35211,85.6338,85.6338,84.50704,84.50704,85.07042,84.50704,84.50704,84.50704,84.50704
3:25.07246,25.07246,25.36232,25.50725,25.50725,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232
4:23.66149,23.66149,24.17962,24.00691,17.09845,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149
0:99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
1:45.18072,35.54217,35.54217,99.69879,99.69879,28.91566,35.84337,35.84337,36.14458,35.84337,35.84337,35.84337
2:84.78873,85.07042,85.35211,86.19718,85.6338,85.6338,84.50704,84.50704,85.07042,84.50704,84.50704,84.50704
3:25.07246,25.07246,25.36232,25.7971,25.50725,25.50725,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232
4:23.66149,23.66149,24.17962,23.8342,24.00691,17.09845,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149
0:99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
1:45.18072,35.54217,35.54217,99.69879,99.69879,28.91566,35.84337,35.84337,36.14458,35.84337,35.84337,35.84337
2:84.78873,85.07042,85.35211,86.19718,85.6338,85.6338,84.50704,84.50704,85.07042,84.50704,84.50704,84.50704
3:25.07246,25.07246,25.36232,25.7971,25.50725,25.50725,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232
4:23.66149,23.66149,24.17962,23.8342,24.00691,17.09845,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149
0:99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
1:45.18072,35.54217,35.54217,99.69879,99.69879,28.91566,35.84337,35.84337,36.14458,35.84337,35.84337,35.84337
2:84.78873,85.07042,85.35211,86.19718,85.6338,85.6338,84.50704,84.50704,85.07042,84.50704,84.50704,84.50704
3:25.07246,25.07246,25.36232,25.7971,25.50725,25.50725,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232
4:23.66149,23.66149,24.17962,23.8342,24.00691,17.09845,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149
0:99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
1:45.18072,35.54217,35.54217,99.69879,99.69879,28.91566,35.84337,35.84337,36.14458,35.84337,35.84337,35.84337
2:84.78873,85.07042,85.35211,86.19718,85.6338,85.6338,84.50704,84.50704,85.07042,84.50704,84.50704,84.50704
3:25.07246,25.07246,25.36232,25.7971,25.50725,25.50725,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232
4:23.66149,23.66149,24.17962,23.8342,24.00691,17.09845,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149
0:99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
1:45.18072,35.54217,35.54217,99.69879,99.69879,28.91566,35.84337,35.84337,36.14458,35.84337,35.84337,35.84337
2:84.78873,85.07042,85.35211,86.19718,85.6338,85.6338,84.50704,84.50704,85.07042,84.50704,84.50704,84.50704
3:25.07246,25.07246,25.36232,25.7971,25.50725,25.50725,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232
4:23.66149,23.66149,24.17962,23.8342,24.00691,17.09845,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149
0:99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
1:45.18072,35.54217,35.54217,99.69879,99.69879,28.91566,35.84337,35.84337,36.14458,35.84337,35.84337,35.84337
2:84.78873,85.07042,85.35211,86.19718,85.6338,85.6338,84.50704,84.50704,85.07042,84.50704,84.50704,84.50704
3:25.07246,25.07246,25.36232,25.7971,25.50725,25.50725,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232
4:23.66149,23.66149,24.17962,23.8342,24.00691,17.09845,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149
0:99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
1:45.18072,35.54217,35.54217,99.69879,99.69879,28.91566,35.84337,35.84337,36.14458,35.84337,35.84337,35.84337
2:84.78873,85.07042,85.35211,86.19718,85.6338,85.6338,84.50704,84.50704,85.07042,84.50704,84.50704,84.50704
3:25.07246,25.07246,25.36232,25.7971,25.50725,25.50725,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232
4:23.66149,23.66149,24.17962,23.8342,24.00691,17.09845,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149
0:99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
1:45.18072,35.54217,35.54217,99.69879,99.69879,28.91566,35.84337,35.84337,36.14458,35.84337,35.84337,35.84337
2:84.78873,85.07042,85.35211,86.19718,85.6338,85.6338,84.50704,84.50704,85.07042,84.50704,84.50704,84.50704
3:25.07246,25.07246,25.36232,25.7971,25.50725,25.50725,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232
4:23.66149,23.66149,24.17962,23.8342,24.00691,17.09845,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149
0:99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
1:45.18072,35.54217,35.54217,99.69879,99.69879,28.91566,35.84337,35.84337,36.14458,35.84337,35.84337,35.84337
2:84.78873,85.07042,85.35211,86.19718,85.6338,85.6338,84.50704,84.50704,85.07042,84.50704,84.50704,84.50704
3:25.07246,25.07246,25.36232,25.7971,25.50725,25.50725,25.36232,25.36232,25.36232,25.36232,25.36232,25.36232
4:23.66149,23.66149,24.17962,23.8342,24.00691,17.09845,23.66149,23.66149,23.66149,23.66149,23.66149,23.66149
