3:10.43478,3.333333,2.028986,0.2898551,0.1449275,0.1449275,0.1449275,0.1449275,0.1449275,0.1449275,0.1449275,0.1449275
4:3.108808,1.554404,0.3454231,0.3454231,0.1727116,0.1727116,0.1727116,0.1727116,0.1727116,0.1727116,0.1727116,0.1727116
0:52.47253,12.91209,3.296703,3.296703,1.373626,0.8241758,1.648352,0.8241758,1.373626,2.747253,1.373626,1.373626
1:3.012048,0.3012048,0.3012048,0.3012048,0,0,0,0,0,0,0,0
2:2.816901,0.2816902,0.2816902,0.2816902,0,0,0,0,0,0,0,0
3:21.44928,21.44928,21.44928,21.44928,21.44928,21.44928,21.44928,21.44928,10.72464,10.72464,10.72464,10.57971
4:7.599309,7.599309,7.599309,7.599309,7.599309,7.599309,7.599309,7.599309,3.108808,3.108808,3.108808,3.108808
0:11.81319,11.81319,11.81319,11.81319,11.81319,11.81319,11.81319,11.81319,52.74725,52.74725,52.74725,52.74725
1:27.10843,27.10843,27.10843,27.10843,27.10843,27.10843,27.10843,27.10843,3.012048,3.012048,3.012048,3.012048
2:25.6338,25.6338,25.6338,25.6338,25.6338,25.6338,25.6338,25.6338,2.816901,2.816901,2.816901,2.816901
3:55.36232,55.21739,55.21739,55.21739,55.21739,55.21739,55.21739,55.21739,55.21739,55.21739,55.21739,55.21739
4:99.65458,36.44214,36.44214,36.44214,36.44214,36.44214,36.44214,36.44214,36.44214,36.44214,36.44214,36.44214
0:99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
1:99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879
2:85.91549,85.35211,85.35211,85.35211,85.35211,85.35211,85.35211,85.35211,85.35211,85.35211,85.35211,85.35211
3:99.85507,99.85507,99.85507,99.85507,99.85507,99.85507,99.85507,99.85507,99.85507,99.85507,99.85507,99.85507
4:99.65458,99.82729,99.82729,99.65458,99.65458,99.65458,99.82729,99.82729,99.82729,24.17962,99.65458,99.65458
0:99.72527,99.72527,99.72527,99.72527,99.45055,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.45055
1:99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879
2:99.71831,85.35211,99.43662,99.43662,99.43662,99.71831,99.43662,99.43662,99.43662,90.14085,99.71831,99.71831
3:99.85507,99.85507,99.85507,99.85507,99.85507,99.85507,99.85507,99.85507,99.85507,99.85507,99.85507,99.85507
4:99.65458,99.82729,99.82729,99.65458,99.65458,24.69775,99.82729,99.82729,99.65458,99.65458,99.65458,99.82729
0:99.72527,99.72527,99.72527,99.72527,99.45055,99.72527,99.45055,99.45055,99.45055,99.72527,99.72527,99.72527
1:99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879,99.69879
2:99.71831,85.35211,99.43662,99.43662,99.71831,85.35211,99.71831,99.71831,99.43662,99.71831,99.71831,99.43662
3:99.85507,99.85507,99.85507,99.85507,99.85507,99.85507,99.85507,99.85507,99.85507,99.85507,99.85507,99.85507
4:99.65458,99.82729,99.82729,99.65458,99.65458,24.69775,99.82729,99.82729,99.82729,99.65458,99.65458,99.65458
