117,117,117,97,97,97,97,97,97,97,0,0
25.07246,25.07246,25.07246,22.02899,22.02899,22.02899,22.02899,22.02899,22.02899,22.02899,0,0.1449275
23.48877,23.48877,23.48877,8.462867,8.462867,8.462867,8.462867,8.462867,8.462867,8.462867,0,0.1727116
53.2967,53.2967,53.2967,11.81319,11.81319,11.81319,11.81319,11.81319,11.81319,11.81319,0.2747253,1.923077
34.93976,34.93976,34.93976,28.61446,28.61446,28.61446,28.61446,28.61446,28.61446,28.61446,0,0
322,306,306,306,306,306,306,306,306,306,306,306
25.50725,25.07246,25.07246,25.07246,25.07246,25.07246,25.07246,25.07246,25.07246,25.07246,25.07246,25.07246
23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877
99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
45.78313,35.54217,35.54217,35.54217,35.54217,35.54217,35.54217,35.54217,35.54217,35.54217,35.54217,35.54217
354,353,353,353,353,353,353,353,353,353,353,353
25.07246,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725
23.66149,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.66149,23.48877
99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.72527,99.45055
35.54217,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,99.69879,45.78313
354,353,353,353,353,353,353,353,353,353,353,353
25.07246,25.21739,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725
23.66149,23.66149,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.66149
99.45055,99.72527,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.72527
35.54217,45.48193,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,99.69879
354,353,353,353,353,353,353,353,353,353,353,353
25.07246,25.21739,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725
23.66149,23.66149,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.66149
99.45055,99.72527,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.72527
35.54217,45.48193,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,99.69879
354,353,353,353,353,353,353,353,353,353,353,353
25.07246,25.21739,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725
23.66149,23.66149,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.66149
99.45055,99.72527,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.72527
35.54217,45.48193,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,99.69879
354,353,353,353,353,353,353,353,353,353,353,353
25.07246,25.21739,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725
23.66149,23.66149,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.66149
99.45055,99.72527,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.72527
35.54217,45.48193,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,99.69879
354,354,353,353,353,353,353,353,353,353,353,353
25.07246,25.36232,25.21739,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725
23.66149,24.00691,23.66149,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877
99.45055,99.45055,99.72527,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055
35.54217,99.69879,45.48193,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313
354,354,353,353,353,353,353,353,353,353,353,353
25.07246,25.36232,25.21739,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725,25.50725
23.66149,24.00691,23.66149,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877,23.48877
99.45055,99.45055,99.72527,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055,99.45055
35.54217,99.69879,45.48193,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313,45.78313
354,354,354,354,354,354,354,354,354,354,354,354
25.07246,25.36232,25.07246,25.07246,25.7971,25.07246,25.07246,25.07246,25.07246,25.7971,25.7971,25.07246
23.66149,24.00691,23.8342,23.8342,24.17962,23.8342,23.8342,23.8342,23.8342,24.17962,24.17962,23.8342
99.45055,99.45055,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
35.54217,99.69879,35.24096,35.24096,99.69879,35.24096,35.24096,35.24096,35.24096,99.69879,99.69879,35.24096
354,354,354,354,354,354,354,354,354,354,354,354
25.07246,25.36232,25.07246,25.07246,25.07246,25.7971,25.07246,25.07246,25.07246,25.07246,25.7971,25.7971
23.66149,24.00691,23.66149,23.8342,23.8342,24.17962,23.8342,23.8342,23.8342,23.8342,24.17962,24.17962
99.45055,99.45055,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
35.54217,99.69879,99.69879,35.24096,35.24096,99.69879,35.24096,35.24096,35.24096,35.24096,99.69879,99.69879
354,354,354,354,354,354,354,354,354,354,354,354
25.07246,25.36232,25.07246,25.07246,25.07246,25.7971,25.07246,25.07246,25.07246,25.07246,25.7971,25.7971
23.66149,24.00691,23.66149,23.8342,23.8342,24.17962,23.8342,23.8342,23.8342,23.8342,24.17962,24.17962
99.45055,99.45055,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
35.54217,99.69879,99.69879,35.24096,35.24096,99.69879,35.24096,35.24096,35.24096,35.24096,99.69879,99.69879
354,354,354,354,354,354,354,354,354,354,354,354
25.07246,25.36232,25.07246,25.07246,25.07246,25.7971,25.07246,25.07246,25.07246,25.07246,25.7971,25.7971
23.66149,24.00691,23.66149,23.8342,23.8342,24.17962,23.8342,23.8342,23.8342,23.8342,24.17962,24.17962
99.45055,99.45055,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
35.54217,99.69879,99.69879,35.24096,35.24096,99.69879,35.24096,35.24096,35.24096,35.24096,99.69879,99.69879
354,354,354,354,354,354,354,354,354,354,354,354
25.07246,25.36232,25.07246,25.07246,25.07246,25.7971,25.07246,25.07246,25.07246,25.07246,25.7971,25.7971
23.66149,24.00691,23.66149,23.8342,23.8342,24.17962,23.8342,23.8342,23.8342,23.8342,24.17962,24.17962
99.45055,99.45055,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527,99.72527
35.54217,99.69879,99.69879,35.24096,35.24096,99.69879,35.24096,35.24096,35.24096,35.24096,99.69879,99.69879
